DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,What,Number,Shape,DepthMin,DepthMax,DurationMin,DurationMax,Shallow,Deep
146295,146295,0.500000,Transmission,Mk10,,07:42:00 10-Mar-2015,08:51:50 10-Mar-2015,Dive,1,Square,35.5,36.0,4189,4191,,
146295,146295,0.500000,Transmission,Mk10,,08:51:50 10-Mar-2015,08:55:30 10-Mar-2015,Surface,,,,,219,221,142,78
146295,146295,0.500000,Transmission,Mk10,,08:55:00 10-Mar-2015,14:31:30 10-Mar-2015,Message,9,,,,20181.000000,20199.000000,,
146295,146295,0.500000,Transmission,Mk10,,08:55:00 10-Mar-2015,10:08:30 10-Mar-2015,Dive,1,Square,35.5,36.0,4409,4411,,
146295,146295,0.500000,Transmission,Mk10,,10:08:30 10-Mar-2015,10:11:50 10-Mar-2015,Surface,,,,,199,201,161,39
146295,146295,0.500000,Transmission,Mk10,,10:11:50 10-Mar-2015,11:38:30 10-Mar-2015,Dive,1,Square,37.5,38.0,5199,5201,,
146295,146295,0.500000,Transmission,Mk10,,11:38:30 10-Mar-2015,11:42:00 10-Mar-2015,Surface,,,,,209,211,176,34
146295,146295,0.500000,Transmission,Mk10,,11:42:00 10-Mar-2015,11:43:20 10-Mar-2015,Dive,1,U,13.0,13.0,79,81,,
146295,146295,0.500000,Transmission,Mk10,,11:43:20 10-Mar-2015,11:46:30 10-Mar-2015,Surface,,,,,189,191,141,49
146295,146295,0.500000,Transmission,Mk10,,11:46:30 10-Mar-2015,13:03:40 10-Mar-2015,Dive,1,Square,37.5,38.0,4629,4631,,
146295,146295,0.500000,Transmission,Mk10,,13:03:40 10-Mar-2015,13:06:30 10-Mar-2015,Surface,,,,,169,171,115,55
146295,146295,0.500000,Transmission,Mk10,,13:06:30 10-Mar-2015,14:31:30 10-Mar-2015,Dive,1,Square,36.5,37.0,5099,5101,,
146295,146295,0.500000,Transmission,Mk10,1,14:32:00 10-Mar-2015,20:57:40 10-Mar-2015,Message,9,,,,23131.000000,23149.000000,,
146295,146295,0.500000,Transmission,Mk10,1,14:32:00 10-Mar-2015,14:34:40 10-Mar-2015,Surface,,,,,159,161,124,36
146295,146295,0.500000,Transmission,Mk10,1,14:34:40 10-Mar-2015,15:56:30 10-Mar-2015,Dive,1,Square,35.5,36.0,4909,4911,,
146295,146295,0.500000,Transmission,Mk10,1,15:56:30 10-Mar-2015,15:59:40 10-Mar-2015,Surface,,,,,189,191,141,49
146295,146295,0.500000,Transmission,Mk10,1,15:59:40 10-Mar-2015,17:22:10 10-Mar-2015,Dive,1,Square,34.5,35.0,4949,4951,,
146295,146295,0.500000,Transmission,Mk10,1,17:22:10 10-Mar-2015,17:25:20 10-Mar-2015,Surface,,,,,189,191,141,49
146295,146295,0.500000,Transmission,Mk10,1,17:25:20 10-Mar-2015,18:55:20 10-Mar-2015,Dive,1,Square,36.5,37.0,5399,5401,,
